Code :2308     | Name:Batavia / TM 109 SE                                                 | Test result is OK!
Code :2309     | Name:WGS 84 / TM 116 SE                                                  | Test result is OK!
Code :2310     | Name:WGS 84 / TM 132 SE                                                  | Test result is OK!
Code :2311     | Name:WGS 84 / TM 6 NE                                                    | Test result is OK!
Code :2312     | Name:Garoua / UTM zone 33N                                               | Error using ==> convertCoordinates at 167 No transformation methods available ...
Code :2313     | Name:Kousseri / UTM zone 33N                                             | Error using ==> convertCoordinates at 167 No transformation methods available ...
Code :2314     | Name:Trinidad 1903 / Trinidad Grid (ftCla)                               | Test result is not OK: diff(lon) =    1.7755    3.5505    0.0005    3.5505    0.0005 | diff(lat) =    0.8266    1.7566    1.7566   -0.1034   -0.1034 
Code :2315     | Name:Campo Inchauspe / UTM zone 19S                                      | Test result is OK!
Code :2316     | Name:Campo Inchauspe / UTM zone 20S                                      | Test result is OK!
Code :2317     | Name:PSAD56 / ICN Regional                                               | Test result is OK!
Code :2318     | Name:Ain el Abd / Aramco Lambert                                         | Test result is OK!
Code :2319     | Name:ED50 / TM27                                                         | Test result is OK!
Code :2320     | Name:ED50 / TM30                                                         | Test result is OK!
Code :2321     | Name:ED50 / TM33                                                         | Test result is OK!
Code :2322     | Name:ED50 / TM36                                                         | Test result is OK!
Code :2323     | Name:ED50 / TM39                                                         | Test result is OK!
Code :2324     | Name:ED50 / TM42                                                         | Test result is OK!
Code :2325     | Name:ED50 / TM45                                                         | Test result is OK!
Code :2326     | Name:Hong Kong 1980 Grid System                                          | Test result is OK!
Code :2327     | Name:Xian 1980 / Gauss-Kruger zone 13                                    | Error using ==> convertCoordinates at 167 No transformation methods available ...
