CHANGE_ID,REPORT_DATE,DATE_CLOSED,REPORTER,REQUEST,TABLES_AFFECTED,CODES_AFFECTED,COMMENT,ACTION
1998.32,11/6/1998,11/11/1998,Peter Laskowski; Intergraph,Increase ellipsoid parameter precision,Ellipsoid,7019  7030-7033  7036,5 decimal places in 1/f allows computation of semi-minor axis to better than 0.5mm.,Precision of 1/f increased from 5 decimal places to original publication precision.
1998.321,11/6/1998,4/22/1999,Peter Laskowski; Intergraph,Increase ellipsoid parameter precision,Ellipsoid,7001-2  7004-6,5 decimal places in 1/f allows computation of semi-minor axis to better than 0.5mm.,Precision of 1/f increased from 5 decimal places to original publication precision.
1998.33,11/6/1998,11/11/1998,Peter Laskowski; Intergraph,Expand ellipsoid second defining parameter types,Ellipsoid,,EPSG/POSC will retain the three geometric parameters a b and 1/f; the computation of other geometric parameters required for transformations is best left for the application; the introduction of physical parameters introduces unnecessary complexity.,Informed reporter.
1998.34,11/6/1998,4/22/1999,Peter Laskowski; Intergraph,Store original ellipsoid unit definitions,Ellipsoid,7001  7004  7008,,Added original definition as remarks to 7001 7004 and 7008; added 7042.
1998.35,11/6/1998,4/22/1999,Richard Wylde; SIMA Consultancy,Add TM offset from UTM and associated CS,HorizCS  Trf_nonpoly,,,Added non-polynomial transformations 16400 16405 16506 16611 16612 16636;  horizCS 3176 22091 22092 23090 23095 32766.
1998.361,11/6/1998,11/19/1998,Richard Wylde; SIMA Consultancy,Check Petroconsultants country codes,Area,10  40  62  93  97  105  224  242  271,,Changed Petroconsultants codes for Area_IDs 10(8190>6190) 40(6610>6510) 62(8220>6220) 93(5520>6520) 97(8080>8680) 105(6230>6430) 242(8230>6230) and 271(3360>3370). Added Petroconsultants code 6600 for Area_ID 274.
1998.362,11/6/1998,11/19/1998,Richard Wylde; SIMA Consultancy,Check ISO area codes,Area,26 141 263,,Changed ISO A3 codes for Area_IDs 26(BR>BHR) and 141(KBR>LBR). Changed ISO A2 code for Area_ID 263(BG>VG).
1998.37,11/10/1998,11/11/1998,Rossano Carlotti; AGIP,Check Rome prime meridian transformation,Trf_non-poly,1262,,Erroneous value of -7.26225 replaced with correct value of 12.27084.
1998.38,11/3/1998,11/11/1998,John Bobbitt; POSC,Check Trinidad geodetic transformations,Trf_non-poly,1295  1296,Parameters for these two transformation parameters were transposed.,Corrected parameters for dX dY and dZ for 1295 and 1296 by moving values from 1295 to 1296 and vice versa.
1998.381,11/10/1998,11/11/1998,Rossano Carlotti; AGIP,Check Trinidad geodetic transformations,Trf_non-poly,,See 1998.380,See 98.380.
1998.39,11/10/1998,9/19/2002,APSG,Ensure at least 1 transformation to WGS84 for every GeogCS,,,See 2002.391,Case closed.
1998.4,11/11/1998,11/11/1998,EPSG,Add Indian 1960 GeogCS,Geod_Datum  HorizCS,,,Added geodetic datum 6131; geogCS 4131; projCS 3148  3149  3176.
1998.41,11/11/1998,10/20/1999,EPSG,Add parameter units for all transformation parameters,,,To be implemented in v5.,
1998.42,11/11/1998,11/11/1998,John Bobbitt; POSC,Correct spelling of Portuguese,HorizCS  Trf_nonpoly,19918  20700,Only change is in the spelling of the projection and projected CS names.  As these are keys the original enties deleted and replaced.,Non-poly tfm 19918 and HorizCS 20700 deleted and replaced by 19936 and 20790 respectively.
